Cation,Anion,Meilleure Solubilite,Temp Opt,Temps Opt,Cellulose Opt
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(NNC(=O)c1ccccc1C(=O)[O-])Nc1ccccc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCOC(=O)[C@H](C)N[P@](=O)(Oc1ccccc1)Oc1ccc(N([O-])OC)cc1,1.2195,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,[CH2-]c1c(C2CCCCC2)cc(CC2C=CC=CCC2)cc1C1CCCCC1,1.5306,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)(C)OC(=O)N1CCC2(CC1)C(=C=[N-])C(=S)NC(=O)C2C#N,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)C[C@H](NC(=O)c1ccc(C=C2SC(=S)N(C)C2=O)cc1)C(=O)[O-],0.8932,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(O)C1(c2ccccn2)COc2cccc(N([O-])O)c2N1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(CC(C(=O)N2CCN(C3CCCC3)CC2)[C@H]2CC(N3CCc4ccccc4NC3=O)CCN2C(=O)[O-])cc(C)c1O,4380.6733,160,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CN=CN1[C@@H](CCNN(C)CCNC)NN([O-])C1(C)C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1sc2nc(SCC(=O)[O-])n(-c3ccccc3)c(=O)c2c1C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C1COc2c([C@@H]([O-])CCl)ccc(OCc3ccccc3)c2N1,0.5086,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(c1ccccc1)C(c1ccccc1)C1(O)C(=O)Nc2ccc(N([O-])O)cc21,2.0730,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)(C)OC(=O)N1CCN2C(Br)=NC(C)(C(=O)[O-])C2C1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[C@H](Cc4ccc(OC)c(OC)c4)O3)cc21,9.2583,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(C=CC(c2cc(Cl)cc(Cl)c2)C(F)(F)F)ccc1C(=O)[O-],0.4613,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1cc(Cl)c(C=C2SC(=Nc3ccccc3)N(Cc3ccc(C(=O)[O-])cc3)C2=O)cc1OC,23.4856,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)C=CC(=O)[O-])cc1,0.7297,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)C(=O)OC1Oc2ccc(CS(=O)(=O)[O-])cc2C1(C)C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cccc(O)c1N=Cc1cc(C(=O)O)ccc1[O-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cn1cc(C=C2SC(=O)N(CC(=O)[O-])C2=O)c2ccccc21,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(=O)NC(=Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],0.9766,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)(C)OC(=O)NC1CNc2ccccc2C(CC2CC2)N1[O-],0.8099,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccccc1OCCNc1nc(C)c(C(=O)[O-])s1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(=O)NCC(=O)N1CC(=O)C2C1CCN2C(=O)C([NH-])CC(C)C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COCC1NC(C)=C(C#N)C(c2ccc(F)cc2)C1(C(=O)[O-])C(C)C,0.6180,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1cc(S(=O)(=O)Nc2cccc(F)c2)ccc1Cl,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1cccc(N2C(=O)C(=Cc3ccc(Cl)cc3)SC2=S)c1,0.7213,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[N-][C@@H](c1ccccc1)[C@@H](C)CN1CCCN(C)CC1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(C(=O)NCCNC(=O)CCC(=O)[O-])cc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1ccccc1Sc1ccccc1N(O)O,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,[CH2-]c1cccc2cc3ccc4cccc5ccc(c12)c3c45,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,NS(=O)(=O)c1ccc(CCNC(=O)CSc2ncccc2C(=O)[O-])cc1,0.9012,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=S=c1c(Cc2ccc3c(c2)OCO3)cccn1[O-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C1NC(=Nc2ccc([O-])c(C(=O)O)c2)SC1=CC=Cc1ccco1,0.9998,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)[O-])cc2CN1C(=O)NCc1ccccc1,1.5035,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCc1nn(-c2ccc(C)cc2)c(CC)c1C(=O)[O-],0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCC=C(C(=O)[O-])C1CCC(c2ccc(C)cc2)CC1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1cc2c(cc1OC)[C@H](C)N(C(=O)c1ccccc1C(=O)[O-])CC2,1.0210,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC[C@H](NC(=O)[C@H](CSC)N=C([O-])OCC1c2ccccc2-c2ccccc21)C(C)=O,3.3435,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCC(NC(=O)C(C)CCC[N-]C(N)=NP(C)C)C(N)=O,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1nccc2c1c(=O)n(C)c1cc(OCC(CC(C)C)NC(=O)[O-])ccc21,1.2569,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1ccccc1N1C(=O)c2cccc3cccc(c23)C1=O,0.8622,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)[C@@H](C(=O)[O-])N1C(=O)c2cc(Cl)c(Cl)cc2C1=O,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1nc(CC(=O)NCCOc2ccccc2-c2ccccc2)sc1C(=O)[O-],1.5065,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(OCCOC(=O)C([O-])(C(F)(F)F)C(F)(F)F)c1c(F)cc(F)cc1F,0.5785,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,NC(=O)COc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)[O-])ccc12,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCC(=O)CC(=O)c1c(CC(=O)[O-])cc2c(c1O)C(=O)c1c(O)cccc1C2=O,1.4224,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(O)c1c(F)ccc(N(C(C2CC2)S(=O)(=O)CC2CC2)S(=O)[O-])c1F,1.0348,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COCCc1ccc(Cl)c(CN(C(=O)C2CN(C(=O)[O-])CCC2=O)C2CC2)c1,1.6255,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])[C@@H]1[C@@H](C(=O)Nc2ccc3ccccc3c2)[C@H]2C=C[C@H]1C2,0.8095,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,[O-]N1CC(=Cc2ccn[nH]2)c2c(OCC3CO3)cccc21,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccc(COc2cccc([B-](F)(F)F)c2)cc1C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccc(C(=O)Nc2ccccc2C(=O)[O-])cc1NC1=C(Cl)C(=O)N(Cc2ccccc2)C1=O,20.2084,200,10.0,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCOc1ccc(C=C2SC(=S)N(CC(=O)N3CSC[C@H]3C(=O)[O-])C2=O)cc1,1.4614,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@H]1Cc2ccccc2N1S(=O)(=O)c1ccc(Br)c(C(=O)[O-])c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@@H]1CC[C@@H]([C@@H](CCCc2cc(Br)ccc2C(=O)[O-])c2ccccc2)c2ccccc21,4.1332,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCSCCCCCCSCCC(C(=O)[O-])C(=O)Oc1c(C(C)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc(C(C)(C)C)cc1C(C)(C)C,5124.8838,200,0.5,Avicel
